"club_position_id";"club_position_name"
"60450fbf-335e-4d65-94bd-8a1ab607486b";"MEMBER"
"7f708955-f708-46d3-a11d-2a30be79ef9a";"PIO"
"c10c3c3c-bea9-11ee-a8eb-84a93eac0a67";"INTERNAL VICE PRESIDENT"
"c6b50479-bea9-11ee-a8eb-84a93eac0a67";"EXTERNAL VICE PRESIDENT"
"cbb80ca9-bea9-11ee-a8eb-84a93eac0a67";"SECRETARY"
"d26ca768-68c3-499e-bf75-1cfb12f3e388";"PRESIDENT"
"d63f4fec-bea9-11ee-a8eb-84a93eac0a67";"ASSISTANT SECRETARY"
"d953ca14-bea9-11ee-a8eb-84a93eac0a67";"TREASURER"
"df75ca36-bea9-11ee-a8eb-84a93eac0a67";"ASSISTANT TREASURER"
"e597d0af-bea9-11ee-a8eb-84a93eac0a67";"LOGISTICS SECRETARY"
"ecc75aeb-bea9-11ee-a8eb-84a93eac0a67";"DOCUMENTATION SECRETARY"
"fa151be9-bea9-11ee-a8eb-84a93eac0a67";"EXTERNAL UNDERSECRETARY"
